,AvgNormLogRTVertexBlock1,AvgNormLogRTVertexBlock2,AvgNormLogRTVertexBlock3,AvgNormLogRTVertexBlock1_2,AvgRandomLogRTVertexBlock1,AvgRandomLogRTVertexBlock2,AvgRandomLogRTVertexBlock3,AvgRandomLogRTVertexBlock1_2,AvgNormLogRTShamBlock1,AvgNormLogRTShamBlock2,AvgNormLogRTShamBlock3,AvgNormLogRTShamBlock1_2,AvgRandomLogRTShamBlock1,AvgRandomLogRTShamBlock2,AvgRandomLogRTShamBlock3,AvgRandomLogRTShamBlock1_2,AvgNormLogRTAnodBlock1,AvgNormLogRTAnodBlock2,AvgNormLogRTAnodBlock3,AvgNormLogRTAnodBlock1_2,AvgRandomLogRTAnodBlock1,AvgRandomLogRTAnodBlock2,AvgRandomLogRTAnodBlock3,AvgRandomLogRTAnodBlock1_2,AvgNormLogRTCathBlock1,AvgNormLogRTCathBlock2,AvgNormLogRTCathBlock3,AvgNormLogRTCathBlock1_2,AvgRandomLogRTCathBlock1,AvgRandomLogRTCathBlock2,AvgRandomLogRTCathBlock3,AvgRandomLogRTCathBlock1_2
JEC,-0.071238415,-0.136536499,-0.213780268,-0.103887457,2.706207242,2.712260417,2.682427736,2.709233829,-0.035509812,-0.065734548,-0.071786215,-0.05062218,2.760317194,2.74373423,2.732803017,2.752025712,-0.051176162,-0.11336583,-0.161828674,-0.082270996,2.70165,2.706533721,2.70265235,2.704091861,-0.046920484,-0.214431857,-0.360777854,-0.130676171,2.72230821,2.711935833,2.704537037,2.717122021
JSH,-0.075672334,-0.072740394,-0.180976931,-0.074206364,2.752445652,2.740635828,2.760189278,2.74654074,-0.056034679,-0.086056651,-0.162649493,-0.071045665,2.764755556,2.773768116,2.750110165,2.769261836,-0.020467871,-0.040356755,-0.09843682,-0.030412313,2.7910625,2.785395586,2.786479469,2.788229043,-0.072825419,-0.049485671,-0.121396249,-0.061155545,2.832297059,2.831981944,2.774453399,2.832139502
LOW,-0.127605158,-0.116222057,-0.233916826,-0.121913607,2.680213716,2.691390339,2.641544643,2.685802027,1.83E-06,-0.0263757,-0.077391822,-0.013186936,2.732001166,2.801693452,2.660665514,2.766847309,0.006416197,-0.029267317,-0.108305302,-0.01142556,2.730574916,2.731019157,2.708728671,2.730797036,-0.180175364,-0.279023667,-0.363656995,-0.229599516,2.66551747,2.711182065,2.652057762,2.688349768
MAM,-0.130350476,-0.320132571,-0.266791188,-0.225241523,2.634543315,2.610393991,2.604955357,2.622468653,-0.096977532,-0.150051523,-0.220399147,-0.123514527,2.645545543,2.659820526,2.632181419,2.652683035,-0.089749585,-0.214360558,-0.270056839,-0.152055072,2.671926381,2.649044608,2.590089516,2.660485495,-0.097075264,-0.193837843,-0.243688305,-0.145456553,2.691116898,2.687619565,2.64166998,2.689368232
MTG,-0.014930324,-0.016373858,-0.059191847,-0.015652091,2.769178979,2.787515212,2.771412439,2.778347095,0.00723159,-0.026467262,-0.071177887,-0.009617836,2.778124411,2.798448157,2.703239583,2.788286284,-0.011867454,0.007857902,-0.04668865,-0.002004776,2.714995272,2.744782727,2.689652715,2.729889,0.005476622,-0.061723778,-0.03182142,-0.028123578,2.741645745,2.711888406,2.693091224,2.726767075
RID,-0.251107681,-0.388847889,-0.375935696,-0.319977785,2.629085805,2.619606996,2.598629508,2.624346401,-0.082894227,-0.123040615,-0.281946705,-0.102967421,2.657331199,2.65260303,2.641222588,2.654967115,-0.201086365,-0.260761515,-0.358596339,-0.23092394,2.645821787,2.64287931,2.636392857,2.644350549,-0.230064993,-0.334673162,-0.388874437,-0.282369078,2.649882066,2.641449875,2.595380208,2.64566597
RJO,-0.251305593,-0.287504361,-0.309074762,-0.269404977,2.652789394,2.61625,2.609526365,2.634519697,-0.282174081,-0.266723913,-0.358078544,-0.274448997,2.678180036,2.670709402,2.640447388,2.674444719,-0.03275506,-0.101595145,-0.201845125,-0.067175103,2.761000249,2.76122549,2.701594192,2.76111287,-0.230574068,-0.35033986,-0.395262885,-0.290456964,2.691421115,2.682697003,2.6457154,2.687059059
SRH,-0.138153478,-0.383404416,-0.442462069,-0.260778947,2.584286832,2.551335548,2.50180084,2.56781119,-0.326201753,-0.425900736,-0.444659197,-0.376051245,2.561794998,2.528871828,2.515964655,2.545333413,-0.151118648,-0.374495707,-0.460571588,-0.262807177,2.61544435,2.540260398,2.519078114,2.577852374,-0.305023284,-0.462933581,-0.418675985,-0.383978432,2.558602252,2.480007692,2.447769594,2.519304972
STF,-0.087357529,-0.190973725,-0.299591454,-0.139165627,2.581889744,2.599614893,2.518758159,2.590752318,-0.103353073,-0.353376919,-0.464637046,-0.228364996,2.59007734,2.545311111,2.555520363,2.567694226,-0.14026278,-0.322774057,-0.360214475,-0.231518418,2.636245455,2.622749269,2.521079458,2.629497362,-0.120668979,-0.36880138,-0.397583059,-0.24473518,2.607052684,2.56695873,2.484204918,2.587005707
TXM,-0.126071035,-0.239506298,-0.343842079,-0.182788666,2.686245169,2.676336538,2.672095629,2.681290854,-0.055957837,-0.133414311,-0.263576642,-0.094686074,2.675447704,2.689380377,2.660611111,2.682414041,-0.116365612,-0.209951764,-0.279201257,-0.163158688,2.672138736,2.670166667,2.659297271,2.671152701,-0.095484826,-0.240931698,-0.291257653,-0.168208262,2.746795097,2.725155232,2.698653137,2.735975165
VXE,-0.029969102,-0.092030924,-0.113509845,-0.061000013,2.7059013,2.662188641,2.6614143,2.684044971,-0.085805963,-0.258759429,-0.286562083,-0.172282696,2.683879406,2.657556775,2.624163945,2.670718091,-0.055426196,-0.10133153,-0.227849442,-0.078378863,2.659687135,2.652869745,2.622012069,2.65627844,-0.085478844,-0.124127538,-0.178182697,-0.104803191,2.67252935,2.655355556,2.640800439,2.663942453
VXP,-0.058006402,-0.04989556,-0.048720503,-0.053950981,2.744297619,2.749364737,2.791392262,2.746831178,-0.042164522,-0.096206134,-0.11837869,-0.069185328,2.753833003,2.739852998,2.708520833,2.746843001,-0.079611087,-0.067782144,-0.070573563,-0.073696616,2.81245122,2.757964921,2.777010617,2.78520807,-0.078569318,-0.103420672,-0.104923743,-0.090994995,2.82479172,2.801700058,2.791454596,2.813245889
