,RUN,LOW_Cath_CONTROL_AveargeRunLogRTs,JSH_Cath_CONTROL_AveargeRunLogRTs,FRF_Cath_CONTROL_AveargeRunLogRTs,VXP_Cath_CONTROL_AveargeRunLogRTs,AAF_Cath_CONTROL_AveargeRunLogRTs,DSL_Cath_CONTROL_AveargeRunLogRTs,RID_Cath_CONTROL_AveargeRunLogRTs,RJO_Cath_CONTROL_AveargeRunLogRTs,IXD_Cath_CONTROL_AveargeRunLogRTs,VXE_Cath_CONTROL_AveargeRunLogRTs,MTG_Cath_CONTROL_AveargeRunLogRTs,EGW_Cath_CONTROL_AveargeRunLogRTs,AVB_Cath_CONTROL_AveargeRunLogRTs,CRB_Cath_CONTROL_AveargeRunLogRTs,TXM_Cath_CONTROL_AveargeRunLogRTs,SRH_Cath_CONTROL_AveargeRunLogRTs,JAF_Cath_CONTROL_AveargeRunLogRTs,JEC_Cath_CONTROL_AveargeRunLogRTs,STF_Cath_CONTROL_AveargeRunLogRTs,MAM_Cath_CONTROL_AveargeRunLogRTs,DLC_Cath_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
18,Run23,69.1358024691358,0.0,34.375,0.0,0.0,2.0408163265306123,82.97872340425532,65.85365853658537,77.77777777777777,14.705882352941176,9.090909090909092,68.23529411764706,29.26829268292683,0.0,47.142857142857146,78.49462365591398,84.84848484848484,45.71428571428572,65.97938144329896,38.46153846153846,0.0,38.76682514405182
19,Run24,73.25581395348837,0.0,5.882352941176471,3.8461538461538463,0.0,7.84313725490196,83.6734693877551,75.86206896551724,89.2156862745098,14.92537313432836,0.0,73.11827956989248,17.391304347826086,0.0,67.0886075949367,94.11764705882354,89.52380952380952,79.7752808988764,82.82828282828282,36.76470588235294,0.0,42.62437968869674
20,Run26,82.10526315789474,0.0,31.944444444444443,0.0,2.0408163265306123,6.25,86.86868686868686,82.95454545454545,69.6969696969697,1.6129032258064515,0.0,44.87179487179487,25.0,0.0,22.857142857142858,76.74418604651163,80.8080808080808,0.0,49.494949494949495,37.64705882352941,2.0408163265306123,33.47322182873419
21,Run27,76.53061224489795,5.0,38.96103896103896,1.9230769230769231,0.0,46.91358024691358,99.10714285714286,67.41573033707866,94.0,10.144927536231885,0.0,67.74193548387096,44.61538461538461,0.0,69.76744186046511,84.61538461538461,85.34482758620689,42.10526315789474,80.0,43.02325581395349,9.433962264150944,46.03064592874725
22,Run28,71.73913043478261,5.2631578947368425,59.036144578313255,1.8867924528301887,0.0,51.21951219512195,96.82539682539682,64.28571428571429,81.81818181818181,12.67605633802817,0.0,73.46938775510205,45.45454545454545,3.8461538461538463,66.25,83.84615384615384,84.90566037735849,67.07317073170732,88.28125,55.056179775280896,3.8461538461538463,48.41803535502674
23,Run29,86.86868686868686,5.2631578947368425,50.0,0.0,0.0,40.84507042253521,94.91525423728814,67.04545454545455,76.99115044247787,30.0,0.0,76.47058823529412,28.07017543859649,3.7735849056603774,63.41463414634146,76.06837606837607,86.06557377049181,71.76470588235294,89.92248062015504,63.2183908045977,10.344827586206897,48.621052946154876
24,Run30,93.0,3.703703703703704,60.71428571428572,5.357142857142857,6.666666666666667,28.98550724637681,92.98245614035088,73.03370786516854,77.67857142857143,32.05128205128205,0.0,82.65306122448979,40.0,21.05263157894737,73.25581395348837,85.71428571428571,84.16666666666667,72.41379310344827,80.46875,50.0,13.043478260869565,51.28294305598783
25,Run31,87.61904761904762,5.2631578947368425,56.41025641025641,1.9230769230769231,3.7735849056603774,37.333333333333336,92.6605504587156,82.75862068965517,90.990990990991,32.91139240506329,0.0,67.44186046511628,15.68627450980392,19.642857142857142,72.41379310344827,89.74358974358974,93.91304347826087,81.44329896907216,86.06557377049181,52.325581395348834,0.0,50.96761353373931
26,Run32,85.29411764705883,5.454545454545454,77.6470588235294,0.0,1.851851851851852,36.8421052631579,88.07339449541284,63.1578947368421,80.0,36.70886075949367,5.357142857142857,78.57142857142857,52.30769230769231,9.25925925925926,67.07317073170732,80.0,87.59689922480621,80.64516129032258,91.54929577464787,65.625,4.25531914893617,52.250961818944525
27,Run33,80.61224489795919,5.2631578947368425,56.25,0.0,0.0,37.68115942028985,83.17757009345794,71.91011235955057,84.070796460177,45.1219512195122,0.0,73.19587628865979,50.0,21.428571428571427,66.66666666666667,84.61538461538461,85.24590163934427,86.86868686868686,92.4812030075188,48.52941176470589,4.545454545454546,51.31734043669888
